Epoch	Loss	Val_loss	te_rmse	te_r2	te_mape	ee_rmse	ee_r2	ee_mape	best_lamda	c_rmse	c_r2	c_mape
0	5.436062812805176	5.248269081115723	2.322221839323871	-3.043698585341101	0.9680246906388882	0.5044223199373413	0.8075568440531062	0.18960195116405507	1.0000000000000027	0.5044223199373413	0.809208089699742	0.1819791667631706
10	4.886829376220703	4.688338279724121	2.19702874638736	-2.619452192997214	0.8714429020209401	0.5030625496075087	0.8078154772780626	0.22277726054732624	1.0000000000000027	0.5030625496075087	0.8102353380659785	0.18059218957567696
20	4.177699089050293	3.9906442165374756	2.0288244798268873	-2.086457625525232	0.7394234042470793	0.49934670029065054	0.8101504672453578	0.34583839119824733	1.0000000000000027	0.49934670029065065	0.8130283611550773	0.18000742966000302
30	3.47855544090271	3.3085169792175293	1.8492315659590874	-1.564212200615155	0.6113005619993144	0.500373262567059	0.8082769502545958	0.7971740881975644	1.0000000000000027	0.5003732625670592	0.8122588143643955	0.18033777363840692
40	2.8093903064727783	2.658341884613037	1.6597494855216723	-1.0656486398021054	0.5132142385785763	0.5023456513574364	0.8054880407533026	1.701876599683255	1.0000000000000027	0.5023456513574364	0.8107758077140045	0.18149922065345378
50	2.2116944789886475	2.084603786468506	1.4713429418738964	-0.6233014870091373	0.46527075511263954	0.5000351968433867	0.8061267973353109	1.114077664924367	1.0000000000000027	0.5000351968433866	0.8125124147219346	0.18106757510256732
60	1.7433785200119019	1.6448909044265747	1.3070327430893045	-0.2809857566671017	0.4621842091011682	0.5013183667454821	0.8035117074676221	1.9112306749799801	1.0000000000000027	0.5013183667454821	0.8115489341140384	0.1825911504721995
70	1.4450671672821045	1.3762131929397583	1.193368723080253	-0.06787561256763608	0.4963991465635858	0.5031211302949062	0.7999727707395803	1.521456858438803	1.1000000000000028	0.5113078887850375	0.8039637651565913	0.18377896587192458
80	1.3018683195114136	1.2547131776809692	1.1362002380663399	0.03198716023537029	0.542637721529714	0.5039876872589515	0.7966999820101363	2.412102241139433	1.1000000000000028	0.5099852523391949	0.8049766551180075	0.18231583246593477
90	1.244220495223999	1.2095370292663574	1.1125968999067217	0.07178826017076434	0.5755796167446412	0.5048834937050629	0.792795362914062	2.252252892041758	1.1000000000000028	0.5105287861543817	0.8045607283057015	0.180542276157693
100	1.2150822877883911	1.1868185997009277	1.10013285753438	0.09246864705225222	0.589693469230793	0.5064322772620792	0.7879102172113726	2.7485756657097977	1.1000000000000028	0.5113872901203704	0.8039028752397605	0.1807555126106954
110	1.192200779914856	1.1674214601516724	1.0898457036695854	0.10936163471643456	0.5922515654230034	0.5038097129141681	0.7862862691849204	6.144236335791351	1.1000000000000028	0.5080336317288598	0.8064664366834702	0.17999529948275877
120	1.1703362464904785	1.148027777671814	1.0798172846729002	0.1256769742958468	0.589667966954084	0.5025966912584645	0.7833599281247101	3.419929439937289	1.1000000000000028	0.5066652772784617	0.8075075719758085	0.1803616741517429
130	1.1486717462539673	1.1286803483963013	1.069787078746669	0.14184435817697838	0.5853443911114596	0.5058010353522112	0.7764491422258921	3.026672957840281	1.1000000000000028	0.5097359142169616	0.8051673071702756	0.18070390479284515
140	1.126589298248291	1.108914852142334	1.0595418151957847	0.15820262350218428	0.5795856645560996	0.5043264673963586	0.7734269986995094	1.887052805938941	1.1000000000000028	0.507989741626604	0.8064998747884975	0.1809650302206476
150	1.103812336921692	1.0885072946548462	1.048869825587441	0.17507484099179693	0.5732453245879418	0.4986791781420787	0.7739377792223545	1.5702510391540427	1.1000000000000028	0.5016099784976864	0.811329630244793	0.1788714318530747
160	1.0804121494293213	1.0675212144851685	1.0378096821704268	0.19238048937890873	0.5663876062162047	0.5000347346545838	0.7678333915829159	1.7885525045709023	1.1000000000000028	0.502944940997176	0.8103240560569832	0.17870986348837803
170	1.0562453269958496	1.0458388328552246	1.0263065359157006	0.2101846766512424	0.558934557789937	0.4984369859793957	0.7641127856477874	3.3369959240594222	1.1000000000000028	0.5011964632021338	0.8116405727257291	0.1787068319523607
180	1.0308303833007812	1.022878646850586	1.0139898224242605	0.2290280849911559	0.5507905022351225	0.4980533004562324	0.7587175437353879	2.116242414803565	1.1000000000000028	0.5001086164101015	0.8124573535265206	0.1787006978875965
190	1.0027135610580444	0.997524619102478	1.0003034798969601	0.24970003659194395	0.5403666704807193	0.4939118402340336	0.756187228694238	1.8383970187239864	1.1000000000000028	0.4954142894884512	0.815961610566345	0.1756902759490647
200	0.9708104133605957	0.9687963724136353	0.9849283549411316	0.272587689083699	0.5287512852678297	0.4920690555177167	0.750397711988749	18.872669548248446	1.1000000000000028	0.4934349395046119	0.8174292657645383	0.17494745122400096
210	0.9370812773704529	0.93776935338974	0.9682284980393234	0.297045705800448	0.5163850240600006	0.4921216058085701	0.7416613605074112	1.5549455057400685	1.1000000000000028	0.49309549107752504	0.8176803709334779	0.17507507878872022
220	0.900126039981842	0.9032540917396545	0.9492607867587861	0.32431784733253755	0.5015647075601272	0.49082989959906687	0.7326408628150918	4.816874216002556	1.1000000000000028	0.4912227035720907	0.819062648889451	0.17333389422479234
230	0.856047511100769	0.8619275689125061	0.9260331464783819	0.35698007534308007	0.4799222765872473	0.483208281030012	0.7276692953223343	2.0455765373324084	1.1000000000000028	0.4826189358330353	0.8253453787120507	0.16862393852316013
240	0.812270998954773	0.8232908248901367	0.9037259214472448	0.3875863747524081	0.46186950311280334	0.46803443886555807	0.7317239915949504	2.2057465015942537	1.1000000000000028	0.46751791158491557	0.836104181126435	0.1618027988515658
250	0.7705207467079163	0.7858818173408508	0.8826950988758412	0.41575797036541484	0.4465307696289058	0.46734633300338346	0.7196251258281833	4.945068180464136	1.1000000000000028	0.46721595200924226	0.8363158261927346	0.16325263042280155
260	0.7347654700279236	0.753162145614624	0.8640439240408072	0.44018696430742377	0.43277146569667846	0.4703581683458744	0.7036299917167916	2.0538978062130475	1.1000000000000028	0.46955188357892047	0.8346749967033299	0.16495282692571608
270	0.7025777101516724	0.7238413691520691	0.8472167704951258	0.46177922917012837	0.4175830841909398	0.4675031390986424	0.6954558368679654	2.5099153365387683	1.1000000000000028	0.4654447464930262	0.837554520091401	0.16296367227106204
